"","taxon_id","pro_id","pro_id_representative","sample","library","pep_bin_sum","pep_bin_n"
"1","uvig_356226","uvig_356226_138","uvig_356226_63","S3.0693.01X195","pepsyn",1,24
"2","uvig_356226","uvig_356226_138","uvig_356226_63","S3.0153.01X194","pepsyn",2,24
"3","uvig_356226","uvig_356226_138","uvig_356226_63","SO.0491.01X194","pepsyn",0,24
"4","uvig_356226","uvig_356226_138","uvig_356226_63","S3.0693.01.2X194","pepsyn",0,24
"5","uvig_356226","uvig_356226_138","uvig_356226_63","S3.0701.01.2X194","pepsyn",0,24
"6","uvig_356226","uvig_356226_125","uvig_356226_50","S3.0693.01X195","pepsyn",0,18
"7","uvig_356226","uvig_356226_125","uvig_356226_50","S3.0153.01X194","pepsyn",0,18
"8","uvig_356226","uvig_356226_125","uvig_356226_50","SO.0491.01X194","pepsyn",0,18
"9","uvig_356226","uvig_356226_125","uvig_356226_50","S3.0693.01.2X194","pepsyn",0,18
"10","uvig_356226","uvig_356226_125","uvig_356226_50","S3.0701.01.2X194","pepsyn",0,18
"11","uvig_356226","uvig_356226_135","uvig_356226_60","S3.0693.01X195","pepsyn",0,18
"12","uvig_356226","uvig_356226_135","uvig_356226_60","S3.0153.01X194","pepsyn",0,18
"13","uvig_356226","uvig_356226_135","uvig_356226_60","SO.0491.01X194","pepsyn",0,18
"14","uvig_356226","uvig_356226_135","uvig_356226_60","S3.0693.01.2X194","pepsyn",0,18
"15","uvig_356226","uvig_356226_135","uvig_356226_60","S3.0701.01.2X194","pepsyn",0,18
"16","uvig_356226","uvig_356226_124","uvig_356226_49","S3.0693.01X195","pepsyn",0,16
"17","uvig_356226","uvig_356226_124","uvig_356226_49","S3.0153.01X194","pepsyn",0,16
"18","uvig_356226","uvig_356226_124","uvig_356226_49","SO.0491.01X194","pepsyn",0,16
"19","uvig_356226","uvig_356226_124","uvig_356226_49","S3.0693.01.2X194","pepsyn",0,16
"20","uvig_356226","uvig_356226_124","uvig_356226_49","S3.0701.01.2X194","pepsyn",0,16
"21","uvig_356226","uvig_356226_127","uvig_356226_52","S3.0693.01X195","pepsyn",2,16
"22","uvig_356226","uvig_356226_127","uvig_356226_52","S3.0153.01X194","pepsyn",0,16
"23","uvig_356226","uvig_356226_127","uvig_356226_52","SO.0491.01X194","pepsyn",1,16
"24","uvig_356226","uvig_356226_127","uvig_356226_52","S3.0693.01.2X194","pepsyn",2,16
"25","uvig_356226","uvig_356226_127","uvig_356226_52","S3.0701.01.2X194","pepsyn",0,16
"26","uvig_356226","uvig_356226_11","uvig_356226_11","S3.0693.01X195","pepsyn",0,14
"27","uvig_356226","uvig_356226_11","uvig_356226_11","S3.0153.01X194","pepsyn",3,14
"28","uvig_356226","uvig_356226_11","uvig_356226_11","SO.0491.01X194","pepsyn",0,14
"29","uvig_356226","uvig_356226_11","uvig_356226_11","S3.0693.01.2X194","pepsyn",0,14
"30","uvig_356226","uvig_356226_11","uvig_356226_11","S3.0701.01.2X194","pepsyn",0,14
"31","uvig_356226","uvig_356226_144","uvig_356226_69","S3.0693.01X195","pepsyn",0,14
"32","uvig_356226","uvig_356226_144","uvig_356226_69","S3.0153.01X194","pepsyn",0,14
"33","uvig_356226","uvig_356226_144","uvig_356226_69","SO.0491.01X194","pepsyn",0,14
"34","uvig_356226","uvig_356226_144","uvig_356226_69","S3.0693.01.2X194","pepsyn",0,14
"35","uvig_356226","uvig_356226_144","uvig_356226_69","S3.0701.01.2X194","pepsyn",0,14
"36","uvig_356226","uvig_356226_78","uvig_356226_78","S3.0693.01X195","pepsyn",1,14
"37","uvig_356226","uvig_356226_78","uvig_356226_78","S3.0153.01X194","pepsyn",2,14
"38","uvig_356226","uvig_356226_78","uvig_356226_78","SO.0491.01X194","pepsyn",0,14
"39","uvig_356226","uvig_356226_78","uvig_356226_78","S3.0693.01.2X194","pepsyn",0,14
"40","uvig_356226","uvig_356226_78","uvig_356226_78","S3.0701.01.2X194","pepsyn",0,14
"41","uvig_356226","uvig_356226_1","uvig_356226_1","S3.0693.01X195","pepsyn",0,12
"42","uvig_356226","uvig_356226_1","uvig_356226_1","S3.0153.01X194","pepsyn",0,12
"43","uvig_356226","uvig_356226_1","uvig_356226_1","SO.0491.01X194","pepsyn",0,12
"44","uvig_356226","uvig_356226_1","uvig_356226_1","S3.0693.01.2X194","pepsyn",2,12
"45","uvig_356226","uvig_356226_1","uvig_356226_1","S3.0701.01.2X194","pepsyn",0,12
"46","uvig_356226","uvig_356226_129","uvig_356226_54","S3.0693.01X195","pepsyn",0,12
