"","wildtypeIDs","sampleXplate","lhfc_G","lhfc_G4S"
"1","10800n-21029r-94490n","CSC024X194",2.31154483436552,2.51041194019636
"3","10800n-21029r-94490n","CSC032X195",4.19162250168657,4.46636778310763
"5","10800n-21029r-94490n","CSC034X195",4.54212388427046,4.5830268213024
"7","10800n-21029r-94490n","CSC035X194",4.99253920982685,5.24854922431392
"9","10800n-21029r-94490n","S3.0078.01X194",2.25339484880327,2.56725439113675
"11","10800n-21029r-94490n","S3.0137.01X195",2.28238238567653,2.42745407503992
"13","10800n-21029r-94490n","S3.0144.01X194",2.49155119250667,2.58701187272515
"17","10800n-21029r-94490n","S3.0153.01X194",5.61133818426492,5.89641183415622
"19","10800n-21029r-94490n","S3.0154.01X195",2.40694510831829,2.41858876875035
"22","10800n-21029r-94490n","S3.0169.01X194",3.58435192476,3.79907824641201
"24","10800n-21029r-94490n","S3.0171.01X194",2.56494935746154,2.97552956623647
"26","10800n-21029r-94490n","S3.0195.01X194",3.53863779078339,3.56501546689155
"27","10800n-21029r-94490n","S3.0495.01X194",2.32630161961136,2.67690347210537
"29","10800n-21029r-94490n","S3.0500.01X195",3.40053049267445,3.41805449872858
"31","10800n-21029r-94490n","S3.0521.01X195",3.2519236789144,2.99623214859564
"33","10800n-21029r-94490n","S3.0586.01X195",3.79795804914017,3.83254680392635
"35","10800n-21029r-94490n","S3.0598.01X195",3.6609942506244,3.91242292544947
"37","10800n-21029r-94490n","S3.0613.01X195",3.26308407953252,3.23946245847659
"39","10800n-21029r-94490n","S3.0616.01X194",2.35137525716348,2.65253749117195
"41","10800n-21029r-94490n","S3.0617.01X194",2.67345875633259,2.64617479738412
"43","10800n-21029r-94490n","S3.0630.01X195",1.61541998411165,1.66959183525385
"45","10800n-21029r-94490n","S3.0631.01X195",4.23916614676084,4.3804003129293
"50","10800n-21029r-94490n","S3.0639.01X195",3.31382230217715,3.33434507467431
"52","10800n-21029r-94490n","S3.0646.01X194",0,2.25444471766611
"54","10800n-21029r-94490n","S3.0652.01X195",4.05681575032969,4.1601323027601
"56","10800n-21029r-94490n","S3.0657.01X194",3.57234563785798,3.67046086858992
"58","10800n-21029r-94490n","S3.0662.01X195",5.20505009857759,5.16877799519305
