"","taxon_id","pro_id","lfc","pep_no","triplet_id","sample"
"1","uvig_355148","uvig_355148_12",4.31802130469797,"pep1","dolphyn_2203748326393026056","S3.0693.01.2X194"
"2","uvig_428798","uvig_428798_34",4.20020495292158,"pep2","dolphyn_1594882241569229004","S3.0693.01.2X194"
"3","uvig_356033","uvig_356033_47",4.07346135130568,"triplet","dolphyn_7131015221084664662","S3.0693.01.2X194"
"4","ivig_4176","ivig_4176_34",3.89182029811063,"pep1","dolphyn_3680617549645844911","S3.0693.01.2X194"
"5","uvig_358797","uvig_358797_13",3.82994489439254,"triplet","dolphyn_6788536032974837977","S3.0693.01.2X194"
"6","uvig_356955","uvig_356955_79",3.71746691096585,"pep1","dolphyn_8331793465879437190","S3.0693.01.2X194"
"7","uvig_295951","uvig_295951_42",3.70302887721836,"triplet","dolphyn_2335480517617068146","S3.0693.01.2X194"
"8","uvig_418132","uvig_418132_20",3.63442326831788,"pep1","dolphyn_2349559706397586636","S3.0693.01.2X194"
"9","uvig_357328","uvig_357328_16",3.62113580202742,"triplet","dolphyn_5629684189787334310","S3.0693.01.2X194"
"10","uvig_418132","uvig_418132_5",3.57990129154419,"pep2","dolphyn_5989743254402284506","S3.0693.01.2X194"
"11","ivig_2475","ivig_2475_18",3.56076195133349,"triplet","dolphyn_7948471697271432929","S3.0693.01.2X194"
"12","uvig_357441","uvig_357441_65",3.48829208851309,"pep3","dolphyn_4483851363714024365","S3.0693.01.2X194"
"13","uvig_395437","uvig_395437_62",3.47258737774883,"pep2","dolphyn_2961925849529746357","S3.0693.01.2X194"
"14","uvig_356033","uvig_356033_37",3.47010136030937,"triplet","dolphyn_8631679163584139442","S3.0693.01.2X194"
"15","uvig_355854","uvig_355854_17",3.35270717250172,"triplet","dolphyn_1063219132920881784","S3.0693.01.2X194"
"16","ivig_3679","ivig_3679_12",3.31998732623661,"pep2","dolphyn_4459341664983388546","S3.0693.01.2X194"
"17","uvig_356226","uvig_356226_51",3.30284925864438,"triplet","dolphyn_8836702854329654015","S3.0693.01.2X194"
"18","uvig_356226","uvig_356226_4",3.24493335918749,"pep1","dolphyn_729306016209239860","S3.0693.01.2X194"
"19","uvig_356792","uvig_356792_41",3.21807550469743,"triplet","dolphyn_362180758767367399","S3.0693.01.2X194"
"20","uvig_356955","uvig_356955_79",3.20801708153332,"triplet","dolphyn_8331793465879437190","S3.0693.01.2X194"
"21","uvig_356226","uvig_356226_38",3.14845336057165,"pep1","dolphyn_386700858133017322","S3.0693.01.2X194"
"22","uvig_396640","uvig_396640_60",3.09376601382536,"triplet","dolphyn_8680768673135162522","S3.0693.01.2X194"
"23","uvig_357534","uvig_357534_48",3.08007342198774,"triplet","dolphyn_1261495490219004025","S3.0693.01.2X194"
