GPD_id,Escherichia coli,Blautia,Bacteroides,Bacteriophage,Siphoviridae,Myoviridae,Podoviridae
uvig_372157,False,False,True,True,False,False,False
uvig_357814,False,False,False,True,False,False,True
uvig_418132,False,False,True,False,True,False,False
uvig_542782,False,True,False,False,False,False,False
uvig_409788,False,False,True,True,True,False,False
uvig_225655,True,False,False,False,False,False,False
ivig_3679,False,False,True,True,False,False,False
uvig_271818,False,False,True,True,False,False,False
uvig_355286,False,False,False,True,True,True,False
uvig_509342,False,False,True,False,False,False,False
uvig_355148,False,False,False,False,True,True,False
ivig_402,True,False,False,True,False,False,False
uvig_395307,False,False,False,True,False,False,True
ivig_2475,True,False,False,True,False,False,True
uvig_578788,True,False,False,False,False,False,False
uvig_359213,True,False,False,False,False,False,False
ivig_3353,False,False,True,True,False,False,False
ivig_2643,True,False,False,True,False,False,True
uvig_356226,False,False,False,False,True,True,False
uvig_356750,False,False,False,False,True,False,False
uvig_355854,False,False,False,True,True,True,False
uvig_396640,False,False,False,False,False,False,False
uvig_578696,True,False,False,False,False,False,False
uvig_430938,True,False,True,False,False,False,False
uvig_395437,False,False,False,False,False,False,False
uvig_429694,True,False,False,False,False,False,False
uvig_355218,False,False,False,False,True,True,False
uvig_359660,False,False,False,True,True,False,False
uvig_356033,False,False,False,True,True,True,False
uvig_533353,False,False,True,True,False,False,False
uvig_356526,False,False,False,False,False,True,False
uvig_356912,False,False,False,True,True,True,False
uvig_356259,False,False,False,True,True,False,False
uvig_354716,False,False,False,False,True,True,False
uvig_357864,False,True,False,True,True,True,False
uvig_315372,True,False,False,False,False,False,False
uvig_267525,False,False,True,True,False,False,False
uvig_361191,True,False,True,False,False,False,False
uvig_356375,False,False,False,True,True,True,False
uvig_429042,True,False,False,True,False,False,False
ivig_601,False,False,True,False,True,False,False
uvig_272223,False,False,True,True,False,False,False
uvig_354753,False,False,False,True,True,True,True
uvig_396758,False,False,False,False,False,False,False
uvig_356500,False,False,False,True,True,True,False
uvig_558569,False,False,True,True,False,False,False
uvig_449019,False,False,False,False,False,False,False
uvig_359760,True,False,False,False,False,False,False
uvig_358476,False,False,False,True,True,True,False
uvig_354826,False,False,False,True,True,False,False
uvig_358303,False,False,False,True,True,True,False
uvig_512665,True,False,False,False,False,False,False
uvig_375837,False,False,False,False,False,False,False
uvig_552393,False,False,True,True,False,False,False
ivig_1166,False,False,True,True,False,False,False
uvig_193528,False,False,True,True,False,False,False
uvig_359155,False,False,False,False,False,False,False
uvig_359217,False,False,False,False,True,False,False
uvig_453409,False,False,True,True,False,False,False
uvig_535970,True,False,True,False,False,False,False
uvig_354790,True,False,False,True,False,False,False
uvig_525990,False,False,True,False,False,False,False
uvig_358852,False,False,False,True,True,True,False
uvig_379702,True,False,False,False,False,False,False
ivig_896,False,False,True,True,False,False,False
uvig_428798,True,False,False,True,False,False,False
uvig_357645,False,False,False,True,False,False,False
ivig_4176,False,False,True,True,False,False,False
uvig_354750,False,False,False,False,True,False,False
uvig_356792,False,False,False,True,True,True,False
uvig_385029,True,False,False,False,False,False,False
uvig_295951,False,False,False,False,False,False,False
uvig_356969,False,False,False,False,True,True,False
uvig_577448,False,False,False,False,True,False,False
ivig_4427,True,False,False,False,True,False,False
ivig_464,False,False,True,True,True,False,False
uvig_205260,True,False,False,False,False,False,False
uvig_359554,False,False,False,True,False,False,False
ivig_4424,True,False,False,False,False,False,False
uvig_356577,True,False,False,False,False,False,False
uvig_357328,True,False,False,False,False,False,False
uvig_505586,False,False,True,False,False,False,False
ivig_3875,False,False,False,True,False,False,False
ivig_2749,False,False,True,False,True,False,False
uvig_357441,False,True,False,True,True,True,False
uvig_356955,False,False,False,True,False,False,False
ivig_1427,True,False,False,False,False,False,False
uvig_304445,True,False,True,False,False,False,False
uvig_213404,True,False,False,False,False,False,False
uvig_396772,True,False,False,False,False,False,False
uvig_211095,False,False,True,True,False,False,False
uvig_357534,False,False,False,True,False,False,True
uvig_80910,True,False,False,False,False,False,False
uvig_379414,True,False,False,False,False,False,False
uvig_453526,False,True,False,False,False,False,False
uvig_506411,False,False,True,True,False,False,False
ivig_2154,False,False,True,False,True,False,False
ivig_2899,False,False,True,False,True,False,False
uvig_358797,False,False,False,True,False,False,True
uvig_359377,False,False,False,True,True,True,False
uvig_250342,True,False,False,False,False,False,False
uvig_315082,False,False,False,False,False,False,False
uvig_307260,True,False,True,False,False,False,False
uvig_160801,True,False,False,False,False,False,False
uvig_29025,False,False,True,True,False,False,False
uvig_158613,True,False,True,False,False,False,False
uvig_355947,False,False,False,True,True,True,False
uvig_358682,False,False,False,True,True,False,False
uvig_355478,False,False,False,True,False,True,False
uvig_297199,False,False,True,False,True,False,False
uvig_577424,False,False,False,False,True,False,False
uvig_529959,False,True,False,False,False,False,False
