"","taxon_id","pro_id","pro_id_representative","sample","library","in_phages","n","GPD_VC"
"1","ivig_3353","ivig_3353_66","uvig_357864_73","S3.0144.01X194","pepsyn",3,62,"4"
"2","ivig_3353","ivig_3353_49","ivig_896_117","S3.0144.01X194","pepsyn",1,60,"4"
"3","ivig_3353","ivig_3353_42","ivig_601_36","S3.0144.01X194","pepsyn",1,30,"4"
"4","ivig_3353","ivig_3353_37","ivig_601_30","S3.0144.01X194","pepsyn",1,26,"4"
"5","ivig_3353","ivig_3353_60","ivig_3353_60","S3.0144.01X194","pepsyn",1,26,"4"
"6","ivig_3353","ivig_3353_26","ivig_1166_16","S3.0144.01X194","pepsyn",1,24,"4"
"7","ivig_3353","ivig_3353_52","ivig_601_46","S3.0144.01X194","pepsyn",1,24,"4"
"8","ivig_3353","ivig_3353_55","ivig_601_49","S3.0144.01X194","pepsyn",1,24,"4"
"9","ivig_3353","ivig_3353_58","uvig_271818_79","S3.0144.01X194","pepsyn",2,22,"4"
"10","ivig_3353","ivig_3353_134","ivig_601_125","S3.0144.01X194","pepsyn",1,22,"4"
"11","ivig_3353","ivig_3353_29","ivig_601_24","S3.0144.01X194","pepsyn",1,20,"4"
"12","ivig_3353","ivig_3353_51","ivig_601_45","S3.0144.01X194","pepsyn",1,20,"4"
"13","ivig_3353","ivig_3353_61","ivig_601_55","S3.0144.01X194","pepsyn",1,20,"4"
"14","ivig_3353","ivig_3353_63","ivig_3353_63","S3.0144.01X194","pepsyn",1,20,"4"
"15","ivig_3353","ivig_3353_28","uvig_357441_79","S3.0144.01X194","pepsyn",2,16,"4"
"16","ivig_3353","ivig_3353_33","ivig_601_26","S3.0144.01X194","pepsyn",1,16,"4"
"17","ivig_3353","ivig_3353_74","ivig_601_68","S3.0144.01X194","pepsyn",1,16,"4"
"18","ivig_3353","ivig_3353_110","uvig_356792_50","S3.0144.01X194","pepsyn",1,14,"4"
"19","ivig_3353","ivig_3353_159","ivig_3353_159","S3.0144.01X194","pepsyn",1,14,"4"
"20","ivig_3353","ivig_3353_39","ivig_601_32","S3.0144.01X194","pepsyn",1,14,"4"
"21","ivig_3353","ivig_3353_59","ivig_601_53","S3.0144.01X194","pepsyn",1,14,"4"
"22","ivig_3353","ivig_3353_64","ivig_896_99","S3.0144.01X194","pepsyn",1,14,"4"
"23","ivig_3353","ivig_3353_7","ivig_896_163","S3.0144.01X194","pepsyn",1,14,"4"
"24","ivig_3353","ivig_3353_77","ivig_601_71","S3.0144.01X194","pepsyn",1,14,"4"
"25","ivig_3353","ivig_3353_81","ivig_601_75","S3.0144.01X194","pepsyn",1,14,"4"
"26","ivig_3353","ivig_3353_89","ivig_601_83","S3.0144.01X194","pepsyn",1,14,"4"
"27","ivig_3353","ivig_3353_100","ivig_601_92","S3.0144.01X194","pepsyn",1,12,"4"
"28","ivig_3353","ivig_3353_114","ivig_601_106","S3.0144.01X194","pepsyn",1,12,"4"
"29","ivig_3353","ivig_3353_125","ivig_601_116","S3.0144.01X194","pepsyn",1,12,"4"
"30","ivig_3353","ivig_3353_30","ivig_601_25","S3.0144.01X194","pepsyn",1,12,"4"
"31","ivig_3353","ivig_3353_38","ivig_601_31","S3.0144.01X194","pepsyn",1,12,"4"
"32","ivig_3353","ivig_3353_49","ivig_896_117","S3.0144.01X194","dolphyn",1,12,"4"
"33","ivig_3353","ivig_3353_53","ivig_601_47","S3.0144.01X194","pepsyn",1,12,"4"
"34","ivig_3353","ivig_3353_56","ivig_601_50","S3.0144.01X194","pepsyn",1,12,"4"
"35","ivig_3353","ivig_3353_6","ivig_896_164","S3.0144.01X194","pepsyn",1,12,"4"
"36","ivig_3353","ivig_3353_76","ivig_601_70","S3.0144.01X194","pepsyn",1,12,"4"
"37","ivig_3353","ivig_3353_84","ivig_601_78","S3.0144.01X194","pepsyn",1,12,"4"
"38","ivig_3353","ivig_3353_9","ivig_1166_8","S3.0144.01X194","pepsyn",1,12,"4"
"39","ivig_3353","ivig_3353_66","uvig_357864_73","S3.0144.01X194","dolphyn",3,11,"4"
"40","ivig_3353","ivig_3353_101","ivig_601_93","S3.0144.01X194","pepsyn",1,10,"4"
"41","ivig_3353","ivig_3353_121","ivig_601_112","S3.0144.01X194","pepsyn",1,10,"4"
"42","ivig_3353","ivig_3353_130","ivig_601_121","S3.0144.01X194","pepsyn",1,10,"4"
"43","ivig_3353","ivig_3353_135","ivig_896_27","S3.0144.01X194","pepsyn",1,10,"4"
"44","ivig_3353","ivig_3353_145","ivig_601_137","S3.0144.01X194","pepsyn",1,10,"4"
"45","ivig_3353","ivig_3353_3","ivig_896_165","S3.0144.01X194","pepsyn",1,10,"4"
"46","ivig_3353","ivig_3353_4","ivig_3353_4","S3.0144.01X194","pepsyn",1,10,"4"
"47","ivig_3353","ivig_3353_44","ivig_601_38","S3.0144.01X194","pepsyn",1,10,"4"
"48","ivig_3353","ivig_3353_45","ivig_601_39","S3.0144.01X194","pepsyn",1,10,"4"
"49","ivig_3353","ivig_3353_50","ivig_601_44","S3.0144.01X194","pepsyn",1,10,"4"
"50","ivig_3353","ivig_3353_57","ivig_601_51","S3.0144.01X194","pepsyn",1,10,"4"
"51","ivig_3353","ivig_3353_62","ivig_2749_44","S3.0144.01X194","pepsyn",1,10,"4"
