"","taxon_id","pro_id","pro_id_representative","sample","library","in_phages","n"
"1","ivig_3353","ivig_3353_66","uvig_357864_73","S3.0144.01X194","pepsyn",3,62
"2","ivig_3353","ivig_3353_49","ivig_896_117","S3.0144.01X194","pepsyn",1,60
"3","ivig_3353","ivig_3353_42","ivig_601_36","S3.0144.01X194","pepsyn",1,30
"4","ivig_3353","ivig_3353_37","ivig_601_30","S3.0144.01X194","pepsyn",1,26
"5","ivig_3353","ivig_3353_60","ivig_3353_60","S3.0144.01X194","pepsyn",1,26
"6","ivig_3353","ivig_3353_26","ivig_1166_16","S3.0144.01X194","pepsyn",1,24
"7","ivig_3353","ivig_3353_52","ivig_601_46","S3.0144.01X194","pepsyn",1,24
"8","ivig_3353","ivig_3353_55","ivig_601_49","S3.0144.01X194","pepsyn",1,24
"9","ivig_3353","ivig_3353_58","uvig_271818_79","S3.0144.01X194","pepsyn",2,22
"10","ivig_3353","ivig_3353_134","ivig_601_125","S3.0144.01X194","pepsyn",1,22
"11","ivig_3353","ivig_3353_29","ivig_601_24","S3.0144.01X194","pepsyn",1,20
"12","ivig_3353","ivig_3353_51","ivig_601_45","S3.0144.01X194","pepsyn",1,20
"13","ivig_3353","ivig_3353_61","ivig_601_55","S3.0144.01X194","pepsyn",1,20
"14","ivig_3353","ivig_3353_63","ivig_3353_63","S3.0144.01X194","pepsyn",1,20
"15","ivig_3353","ivig_3353_28","uvig_357441_79","S3.0144.01X194","pepsyn",2,16
"16","ivig_3353","ivig_3353_33","ivig_601_26","S3.0144.01X194","pepsyn",1,16
"17","ivig_3353","ivig_3353_74","ivig_601_68","S3.0144.01X194","pepsyn",1,16
"18","ivig_3353","ivig_3353_110","uvig_356792_50","S3.0144.01X194","pepsyn",1,14
"19","ivig_3353","ivig_3353_159","ivig_3353_159","S3.0144.01X194","pepsyn",1,14
"20","ivig_3353","ivig_3353_39","ivig_601_32","S3.0144.01X194","pepsyn",1,14
"21","ivig_3353","ivig_3353_59","ivig_601_53","S3.0144.01X194","pepsyn",1,14
"22","ivig_3353","ivig_3353_64","ivig_896_99","S3.0144.01X194","pepsyn",1,14
"23","ivig_3353","ivig_3353_7","ivig_896_163","S3.0144.01X194","pepsyn",1,14
"24","ivig_3353","ivig_3353_77","ivig_601_71","S3.0144.01X194","pepsyn",1,14
"25","ivig_3353","ivig_3353_81","ivig_601_75","S3.0144.01X194","pepsyn",1,14
"26","ivig_3353","ivig_3353_89","ivig_601_83","S3.0144.01X194","pepsyn",1,14
"27","ivig_3353","ivig_3353_100","ivig_601_92","S3.0144.01X194","pepsyn",1,12
"28","ivig_3353","ivig_3353_114","ivig_601_106","S3.0144.01X194","pepsyn",1,12
"29","ivig_3353","ivig_3353_125","ivig_601_116","S3.0144.01X194","pepsyn",1,12
"30","ivig_3353","ivig_3353_30","ivig_601_25","S3.0144.01X194","pepsyn",1,12
"31","ivig_3353","ivig_3353_38","ivig_601_31","S3.0144.01X194","pepsyn",1,12
"32","ivig_3353","ivig_3353_49","ivig_896_117","S3.0144.01X194","dolphyn",1,12
"33","ivig_3353","ivig_3353_53","ivig_601_47","S3.0144.01X194","pepsyn",1,12
"34","ivig_3353","ivig_3353_56","ivig_601_50","S3.0144.01X194","pepsyn",1,12
"35","ivig_3353","ivig_3353_6","ivig_896_164","S3.0144.01X194","pepsyn",1,12
"36","ivig_3353","ivig_3353_76","ivig_601_70","S3.0144.01X194","pepsyn",1,12
"37","ivig_3353","ivig_3353_84","ivig_601_78","S3.0144.01X194","pepsyn",1,12
"38","ivig_3353","ivig_3353_9","ivig_1166_8","S3.0144.01X194","pepsyn",1,12
"39","ivig_3353","ivig_3353_66","uvig_357864_73","S3.0144.01X194","dolphyn",3,11
"40","ivig_3353","ivig_3353_101","ivig_601_93","S3.0144.01X194","pepsyn",1,10
"41","ivig_3353","ivig_3353_121","ivig_601_112","S3.0144.01X194","pepsyn",1,10
"42","ivig_3353","ivig_3353_130","ivig_601_121","S3.0144.01X194","pepsyn",1,10
"43","ivig_3353","ivig_3353_135","ivig_896_27","S3.0144.01X194","pepsyn",1,10
"44","ivig_3353","ivig_3353_145","ivig_601_137","S3.0144.01X194","pepsyn",1,10
"45","ivig_3353","ivig_3353_3","ivig_896_165","S3.0144.01X194","pepsyn",1,10
"46","ivig_3353","ivig_3353_4","ivig_3353_4","S3.0144.01X194","pepsyn",1,10
"47","ivig_3353","ivig_3353_44","ivig_601_38","S3.0144.01X194","pepsyn",1,10
"48","ivig_3353","ivig_3353_45","ivig_601_39","S3.0144.01X194","pepsyn",1,10
"49","ivig_3353","ivig_3353_50","ivig_601_44","S3.0144.01X194","pepsyn",1,10
"50","ivig_3353","ivig_3353_57","ivig_601_51","S3.0144.01X194","pepsyn",1,10
"51","ivig_3353","ivig_3353_62","ivig_2749_44","S3.0144.01X194","pepsyn",1,10
"52","ivig_3353","ivig_3353_65","ivig_601_59","S3.0144.01X194","pepsyn",1,10
"53","ivig_3353","ivig_3353_69","ivig_601_63","S3.0144.01X194","pepsyn",1,10
"54","ivig_3353","ivig_3353_8","ivig_1166_7","S3.0144.01X194","pepsyn",1,10
"55","ivig_3353","ivig_3353_118","ivig_601_109","S3.0144.01X194","pepsyn",1,8
"56","ivig_3353","ivig_3353_12","ivig_601_2","S3.0144.01X194","pepsyn",1,8
"57","ivig_3353","ivig_3353_128","ivig_896_34","S3.0144.01X194","pepsyn",1,8
"58","ivig_3353","ivig_3353_129","ivig_601_120","S3.0144.01X194","pepsyn",1,8
"59","ivig_3353","ivig_3353_144","ivig_601_136","S3.0144.01X194","pepsyn",1,8
"60","ivig_3353","ivig_3353_2","ivig_896_192","S3.0144.01X194","pepsyn",1,8
"61","ivig_3353","ivig_3353_25","ivig_601_15","S3.0144.01X194","pepsyn",1,8
"62","ivig_3353","ivig_3353_27","uvig_356955_25","S3.0144.01X194","pepsyn",1,8
"63","ivig_3353","ivig_3353_46","ivig_896_120","S3.0144.01X194","pepsyn",1,8
"64","ivig_3353","ivig_3353_70","ivig_601_64","S3.0144.01X194","pepsyn",1,8
"65","ivig_3353","ivig_3353_71","ivig_601_65","S3.0144.01X194","pepsyn",1,8
"66","ivig_3353","ivig_3353_78","ivig_601_72","S3.0144.01X194","pepsyn",1,8
"67","ivig_3353","ivig_3353_90","ivig_601_84","S3.0144.01X194","pepsyn",1,8
"68","ivig_3353","ivig_3353_136","ivig_601_128","S3.0144.01X194","pepsyn",1,7
"69","ivig_3353","ivig_3353_42","ivig_601_36","S3.0144.01X194","dolphyn",1,7
"70","ivig_3353","ivig_3353_55","ivig_601_49","S3.0144.01X194","dolphyn",1,7
"71","ivig_3353","ivig_3353_19","ivig_4176_1","S3.0144.01X194","pepsyn",4,6
"72","ivig_3353","ivig_3353_58","uvig_271818_79","S3.0144.01X194","dolphyn",2,6
"73","ivig_3353","ivig_3353_1","ivig_896_167","S3.0144.01X194","pepsyn",1,6
"74","ivig_3353","ivig_3353_108","ivig_601_100","S3.0144.01X194","pepsyn",1,6
"75","ivig_3353","ivig_3353_109","ivig_601_101","S3.0144.01X194","pepsyn",1,6
"76","ivig_3353","ivig_3353_119","ivig_601_110","S3.0144.01X194","pepsyn",1,6
"77","ivig_3353","ivig_3353_126","ivig_601_117","S3.0144.01X194","pepsyn",1,6
"78","ivig_3353","ivig_3353_131","ivig_601_122","S3.0144.01X194","pepsyn",1,6
"79","ivig_3353","ivig_3353_132","ivig_601_123","S3.0144.01X194","pepsyn",1,6
"80","ivig_3353","ivig_3353_133","ivig_601_124","S3.0144.01X194","pepsyn",1,6
"81","ivig_3353","ivig_3353_140","ivig_601_132","S3.0144.01X194","pepsyn",1,6
"82","ivig_3353","ivig_3353_149","ivig_896_12","S3.0144.01X194","pepsyn",1,6
"83","ivig_3353","ivig_3353_151","ivig_601_143","S3.0144.01X194","pepsyn",1,6
"84","ivig_3353","ivig_3353_155","ivig_601_147","S3.0144.01X194","pepsyn",1,6
"85","ivig_3353","ivig_3353_156","ivig_601_148","S3.0144.01X194","pepsyn",1,6
"86","ivig_3353","ivig_3353_16","ivig_601_6","S3.0144.01X194","pepsyn",1,6
"87","ivig_3353","ivig_3353_161","ivig_3353_161","S3.0144.01X194","pepsyn",1,6
"88","ivig_3353","ivig_3353_162","ivig_3353_162","S3.0144.01X194","pepsyn",1,6
"89","ivig_3353","ivig_3353_164","ivig_3353_164","S3.0144.01X194","pepsyn",1,6
"90","ivig_3353","ivig_3353_23","ivig_601_13","S3.0144.01X194","pepsyn",1,6
"91","ivig_3353","ivig_3353_26","ivig_1166_16","S3.0144.01X194","dolphyn",1,6
"92","ivig_3353","ivig_3353_34","ivig_896_134","S3.0144.01X194","pepsyn",1,6
"93","ivig_3353","ivig_3353_35","ivig_601_28","S3.0144.01X194","pepsyn",1,6
"94","ivig_3353","ivig_3353_40","ivig_2749_23","S3.0144.01X194","pepsyn",1,6
"95","ivig_3353","ivig_3353_43","ivig_601_37","S3.0144.01X194","pepsyn",1,6
"96","ivig_3353","ivig_3353_60","ivig_3353_60","S3.0144.01X194","dolphyn",1,6
"97","ivig_3353","ivig_3353_79","ivig_601_73","S3.0144.01X194","pepsyn",1,6
"98","ivig_3353","ivig_3353_80","ivig_601_74","S3.0144.01X194","pepsyn",1,6
"99","ivig_3353","ivig_3353_88","ivig_601_82","S3.0144.01X194","pepsyn",1,6
"100","ivig_3353","ivig_3353_93","ivig_601_85","S3.0144.01X194","pepsyn",1,6
"101","ivig_3353","ivig_3353_95","ivig_2749_73","S3.0144.01X194","pepsyn",1,6
"102","ivig_3353","ivig_3353_99","ivig_601_91","S3.0144.01X194","pepsyn",1,6
"103","ivig_3353","ivig_3353_28","uvig_357441_79","S3.0144.01X194","dolphyn",2,5
"104","ivig_3353","ivig_3353_134","ivig_601_125","S3.0144.01X194","dolphyn",1,5
"105","ivig_3353","ivig_3353_143","ivig_601_135","S3.0144.01X194","pepsyn",1,5
"106","ivig_3353","ivig_3353_148","ivig_601_140","S3.0144.01X194","pepsyn",1,5
"107","ivig_3353","ivig_3353_29","ivig_601_24","S3.0144.01X194","dolphyn",1,5
"108","ivig_3353","ivig_3353_37","ivig_601_30","S3.0144.01X194","dolphyn",1,5
"109","ivig_3353","ivig_3353_63","ivig_3353_63","S3.0144.01X194","dolphyn",1,5
"110","ivig_3353","ivig_3353_102","ivig_601_94","S3.0144.01X194","pepsyn",1,4
"111","ivig_3353","ivig_3353_104","ivig_601_96","S3.0144.01X194","pepsyn",1,4
"112","ivig_3353","ivig_3353_110","uvig_356792_50","S3.0144.01X194","dolphyn",1,4
"113","ivig_3353","ivig_3353_112","ivig_601_104","S3.0144.01X194","pepsyn",1,4
"114","ivig_3353","ivig_3353_113","ivig_601_105","S3.0144.01X194","pepsyn",1,4
"115","ivig_3353","ivig_3353_122","ivig_601_113","S3.0144.01X194","pepsyn",1,4
"116","ivig_3353","ivig_3353_13","ivig_896_156","S3.0144.01X194","pepsyn",1,4
"117","ivig_3353","ivig_3353_135","ivig_896_27","S3.0144.01X194","dolphyn",1,4
"118","ivig_3353","ivig_3353_137","ivig_601_129","S3.0144.01X194","pepsyn",1,4
"119","ivig_3353","ivig_3353_139","ivig_601_131","S3.0144.01X194","pepsyn",1,4
"120","ivig_3353","ivig_3353_14","ivig_601_4","S3.0144.01X194","pepsyn",1,4
"121","ivig_3353","ivig_3353_146","ivig_601_138","S3.0144.01X194","pepsyn",1,4
"122","ivig_3353","ivig_3353_147","ivig_601_139","S3.0144.01X194","pepsyn",1,4
"123","ivig_3353","ivig_3353_150","ivig_601_142","S3.0144.01X194","pepsyn",1,4
"124","ivig_3353","ivig_3353_153","ivig_601_145","S3.0144.01X194","pepsyn",1,4
"125","ivig_3353","ivig_3353_157","ivig_601_149","S3.0144.01X194","pepsyn",1,4
"126","ivig_3353","ivig_3353_163","ivig_3353_163","S3.0144.01X194","pepsyn",1,4
"127","ivig_3353","ivig_3353_165","ivig_3353_165","S3.0144.01X194","pepsyn",1,4
"128","ivig_3353","ivig_3353_17","ivig_601_7","S3.0144.01X194","pepsyn",1,4
"129","ivig_3353","ivig_3353_18","ivig_896_151","S3.0144.01X194","pepsyn",1,4
"130","ivig_3353","ivig_3353_24","ivig_2749_7","S3.0144.01X194","pepsyn",1,4
"131","ivig_3353","ivig_3353_32","ivig_896_136","S3.0144.01X194","pepsyn",1,4
"132","ivig_3353","ivig_3353_36","ivig_601_29","S3.0144.01X194","pepsyn",1,4
"133","ivig_3353","ivig_3353_39","ivig_601_32","S3.0144.01X194","dolphyn",1,4
"134","ivig_3353","ivig_3353_51","ivig_601_45","S3.0144.01X194","dolphyn",1,4
"135","ivig_3353","ivig_3353_54","ivig_601_48","S3.0144.01X194","pepsyn",1,4
"136","ivig_3353","ivig_3353_68","ivig_896_94","S3.0144.01X194","pepsyn",1,4
"137","ivig_3353","ivig_3353_7","ivig_896_163","S3.0144.01X194","dolphyn",1,4
"138","ivig_3353","ivig_3353_72","ivig_601_66","S3.0144.01X194","pepsyn",1,4
"139","ivig_3353","ivig_3353_73","ivig_896_88","S3.0144.01X194","pepsyn",1,4
"140","ivig_3353","ivig_3353_75","ivig_601_69","S3.0144.01X194","pepsyn",1,4
"141","ivig_3353","ivig_3353_77","ivig_601_71","S3.0144.01X194","dolphyn",1,4
"142","ivig_3353","ivig_3353_82","ivig_2749_62","S3.0144.01X194","pepsyn",1,4
"143","ivig_3353","ivig_3353_83","ivig_601_77","S3.0144.01X194","pepsyn",1,4
"144","ivig_3353","ivig_3353_85","ivig_601_79","S3.0144.01X194","pepsyn",1,4
"145","ivig_3353","ivig_3353_87","ivig_601_81","S3.0144.01X194","pepsyn",1,4
"146","ivig_3353","ivig_3353_89","ivig_601_83","S3.0144.01X194","dolphyn",1,4
"147","ivig_3353","ivig_3353_94","ivig_601_86","S3.0144.01X194","pepsyn",1,4
"148","ivig_3353","ivig_3353_100","ivig_601_92","S3.0144.01X194","dolphyn",1,3
"149","ivig_3353","ivig_3353_101","ivig_601_93","S3.0144.01X194","dolphyn",1,3
"150","ivig_3353","ivig_3353_114","ivig_601_106","S3.0144.01X194","dolphyn",1,3
"151","ivig_3353","ivig_3353_121","ivig_601_112","S3.0144.01X194","dolphyn",1,3
"152","ivig_3353","ivig_3353_159","ivig_3353_159","S3.0144.01X194","dolphyn",1,3
"153","ivig_3353","ivig_3353_2","ivig_896_192","S3.0144.01X194","dolphyn",1,3
"154","ivig_3353","ivig_3353_3","ivig_896_165","S3.0144.01X194","dolphyn",1,3
